,text,is_misinfo,cleaned_text
10,I’m so excited about this vaccine that I almost want to know when it will be my turn to take it.,0,Im so excited about this vaccine that I almost want to know when it will be my turn to take it.
11,I got my shot today and am excited to give the covid-19 vaccine to others starting Monday. #MGH #stopthespread https://t.co/yAxMXFwIxL,0,I got my shot today and am excited to give the covid-19 vaccine to others starting Monday.
12,I think the only thing my dad is more excited about for the new year than the vaccine is Cobra Kai season 3,0,I think the only thing my dad is more excited about for the new year than the vaccine is Cobra Kai season
13,#lockdown Do it. Properly. NOW. Give the vaccine a chance.,0,Do it. Properly. NOW. Give the vaccine a chance.
14,"The COVID-19 vaccine has been long-awaited, and now that it is here a lot of people are excited to get it. At the Northeast Colorado Health Department (NCHD), we are just as excited to administer the vaccine to help end the pandemic.  
Read more here: https://t.co/zkoux48H3g https://t.co/pQywXq9Kvo",0,"The COVID-19 vaccine has been long-awaited, and now that it is here a lot of people are excited to get it. At the Northeast Colorado Health Department (NCHD), we are just as excited to administer the vaccine to help end the pandemic. Read more here:"
15,"Today I got my COVID-19 vaccine. I am so excited to do this for my mom, family, friends, patients, healthcare workers, &amp; community.

This brings hope to the new year &amp; for us to get back to normal. https://t.co/2I7tuHj88z",0,"Today I got my COVID-19 vaccine. I am so excited to do this for my mom, family, friends, patients, healthcare workers, &amp; community.This brings hope to the new year &amp; for us to get back to normal."
16,"Learned that my mother will soon be getting the covid vaccine, which has me excited and relieved and hopeful my girls can soon go give her a big hug after we had to cancel 2 different trips to see my parents this year.",0,"Learned that my mother will soon be getting the covid vaccine, which has me excited and relieved and hopeful my girls can soon go give her a big hug after we had to cancel different trips to see my parents this year."
17,"Everyone saying “goodbye 2020” and acting excited for 2021... But we are still in quarantine, arguing over money, and fighting over a vaccine without an end in sight. 2021 doesn’t seem like it’ll be much different 😅😅 https://t.co/gyWP1MT6tc",0,"Everyone saying goodbye and acting excited for ... But we are still in quarantine, arguing over money, and fighting over a vaccine without an end in sight. doesnt seem like itll be much different"
18,"Well, it happened. My daughter used my grandchildren to try to guilt me in to taking the vaccine for the CCP bioweapon. Satan is disguised in so many forms. Be on your guard...even when it feels like your heart is being ripped out. #StandStrong 🙏🏾",1,"Well, it happened. My daughter used my grandchildren to try to guilt me in to taking the vaccine for the CCP bioweapon. Satan is disguised in so many forms. Be on your guard...even when it feels like your heart is being ripped out."
19,Can confirm side effects of the vaccine include feeling LITERALLY SO EXCITED TO TELL EVERYONE THAT I GOT IT.,0,Can confirm side effects of the vaccine include feeling LITERALLY SO EXCITED TO TELL EVERYONE THAT I GOT IT.
20,Chris Rock excited to get the COVID vaccine: ‘Do I know what’s in Tylenol? I just know my headache is gone’ https://t.co/52DPIDFXFT,0,Chris Rock excited to get the COVID vaccine: Do I know whats in Tylenol? I just know my headache is gone
21,Just found out my wife is getting the vaccine in about two weeks. I am both excited and jealous at the same time.,0,Just found out my wife is getting the vaccine in about two weeks. I am both excited and jealous at the same time.
22,"Moderna mRNA #Covidvaccine published results now released. Really impressive data in terms of effectiveness (94%). Very excited to see this in the arms of those in remote, LTC communities, others soon! 
#CalltoArms #BeGreatVaccinate

https://t.co/KR2jwU6qdg https://t.co/r0A8xl3Coy",0,"Moderna mRNA published results now released. Really impressive data in terms of effectiveness (94%). Very excited to see this in the arms of those in remote, LTC communities, others soon! ://"
23,YIKES I'm so apprehensive but excited at the same time. Vaccine here I come!!!! https://t.co/bcNl3IuMeT,0,YIKES I'm so apprehensive but excited at the same time. Vaccine here I come!!!!
24,"I received my first dose of the Pfizer vaccine yesterday. While I'm relieved and excited, I also feel a guilty. I don't think I am particularly high risk. I considered moving to the back of the line, but ultimately decided not to pass on this opportunity for a few reasons:",0,"I received my first dose of the Pfizer vaccine yesterday. While I'm relieved and excited, I also feel a guilty. I don't think I am particularly high risk. I considered moving to the back of the line, but ultimately decided not to pass on this opportunity for a few reasons:"
25,My dad just called me and was so excited to tell me he got his first covid vaccine. He said he just wants to come visit and i'm 😭😭😭,0,My dad just called me and was so excited to tell me he got his first covid vaccine. He said he just wants to come visit and i'm
26,Our veterans are heroes who bravely served us and deserve quality care. That's why I'm excited to share that residents and staff members of our @ILVetsAffairs veterans' homes have received their first dose of the COVID-19 vaccine.,0,Our veterans are heroes who bravely served us and deserve quality care. That's why I'm excited to share that residents and staff members of our veterans' homes have received their first dose of the COVID-19 vaccine.
27,You should be excited about this covid vaccine. Take the shot.,0,You should be excited about this covid vaccine. Take the shot.
28,Former FEMA operative Celeste Solum talks with David Icke: ‘The Covid tests are magnetically tagging you and the vaccine is designed for mass depopulation and the synthetic transformation of the human body’ https://t.co/5bSXxHD1N1,1,Former FEMA operative Celeste Solum talks with David Icke: The Covid tests are magnetically tagging you and the vaccine is designed for mass depopulation and the synthetic transformation of the human body
29,"guess who got their vaccine!!!! excited to be keeping myself, my family, and my community safe! 🥰 https://t.co/QPaLfkaz9r",0,"guess who got their vaccine!!!! excited to be keeping myself, my family, and my community safe!"
30,"My 87 year old grandmother has been quarantining in her Florida house for close to a year. She was so excited to go to @CityDaytona to get her COVID vaccine next week, only to find out @CountyOfVolusia only has 2000 doses spread out over 2 days. For a county of 500,000+. 1/3",0,"My year old grandmother has been quarantining in her Florida house for close to a year. She was so excited to go to to get her COVID vaccine next week, only to find out only has doses spread out over days. For a county of +. /3"
31,"Dr. Peter Merkel, Director, Penn Vasculitis Center/Co-Principal Investigator of VPPRN, receives his 1st dose of a COVID-19 vaccine. I'm excited the vaccine will become available to everyone, especially patients w/vasculitis &amp; their families. Wishing the world a HEALTHY New Year! https://t.co/8Y3jRmqVM9",0,"Dr. Peter Merkel, Director, Penn Vasculitis Center/Co-Principal Investigator of VPPRN, receives his st dose of a COVID-19 vaccine. I'm excited the vaccine will become available to everyone, especially patients w/vasculitis &amp; their families. Wishing the world a HEALTHY New Year!"
32,"Well my mom is getting her covid vaccine shot today, man I’m excited to see what kind of super powers she gets!",0,"Well my mom is getting her covid vaccine shot today, man Im excited to see what kind of super powers she gets!"
33,Just got the first dose of the vaccine y’all! I’m too excited about this 😎,0,Just got the first dose of the vaccine yall! Im too excited about this
34,"Happy New Year to me! I’ve never been more excited to get a vaccine. Beginning the new year with a #ShotOfHope! Thank you, scientists, for your AMAZING work! ⁦@somedocs⁩ ⁦@MultiCareINW⁩ ⁩@aafp⁩ ⁦@STFM_FM⁩ ⁦@WSMA_update⁩ ⁦⁦@spokanehealth⁩ https://t.co/3kkJuWS7Ij",0,"Happy New Year to me! Ive never been more excited to get a vaccine. Beginning the new year with a ! Thank you, scientists, for your AMAZING work!"
35,I’m so excited that with this vaccine I can see the day where we get back to the work of thanking and celebrating (in person and face to face) all the amazing work our healthcare heroes do every day. I’m very ready to throw our “Pandemic is over” party! #417fightscovid https://t.co/T7O6ypn8Ax,0,Im so excited that with this vaccine I can see the day where we get back to the work of thanking and celebrating (in person and face to face) all the amazing work our healthcare heroes do every day. Im very ready to throw our Pandemic is over party!
36,super excited that i just got my first dose of the Pfizer vaccine!!!,0,super excited that i just got my first dose of the Pfizer vaccine!!!
37,"(it gets positive next) 2020 was a real mess and unpleasant and I'm not excited for new year specially bcs until the vaccine reaches here nothing will change and still there's not any sign of coming here soon (🇧🇷 being 🇧🇷), there were a close to none stuff worth this year for me",0,"(it gets positive next) was a real mess and unpleasant and I'm not excited for new year specially bcs until the vaccine reaches here nothing will change and still there's not any sign of coming here soon ( being ), there were a close to none stuff worth this year for me"
38,Listen to all these MDs who affirm the need for informed consent around taking an untested vaccine https://t.co/TGdVVKNuZk,1,Listen to all these MDs who affirm the need for informed consent around taking an untested vaccine
39,"A customer didn’t have a mask on and talked about how tired she is of staying inside but also that her father is turning 100 and getting the vaccine soon, so she’s excited to visit him..... yet made me enter her pin for her... WHILE COUGHING ????? Make it make sense!!!!! https://t.co/nGHTglErZa",0,"A customer didnt have a mask on and talked about how tired she is of staying inside but also that her father is turning and getting the vaccine soon, so shes excited to visit him..... yet made me enter her pin for her... WHILE COUGHING ????? Make it make sense!!!!!"
40,My mums getting the covid vaccine tomorrow and I’ve been signed up for it !!!! So excited,0,My mums getting the covid vaccine tomorrow and Ive been signed up for it !!!! So excited
41,Thank you so much to everyone who helped me through 2020. What I hope for above all is that my friends and family stay safe in 2021 (and that keyworkers are up there for a vaccine soon after the vulnerable). But I also feel excited and optimistic for next year too. ❤️,0,Thank you so much to everyone who helped me through . What I hope for above all is that my friends and family stay safe in (and that keyworkers are up there for a vaccine soon after the vulnerable). But I also feel excited and optimistic for next year too.
42,"As this year closes, we're excited about the #CovidVaccine  and hopeful that 2021 will be a happier &amp; healthier year!  We're sharing our vaccine selfies to spread hope &amp; encourage others to #GetVaccinated.  To begin, here's our Chief Quality Officer Dr. @mebalfour getting hers. https://t.co/iClhAAsy2J",0,"As this year closes, we're excited about the and hopeful that will be a happier &amp; healthier year! We're sharing our vaccine selfies to spread hope &amp; encourage others to . To begin, here's our Chief Quality Officer Dr. getting hers."
43,"COVID-19: Delaying second doses of vaccine is the right call, say UK's chief medical officers
https://t.co/uq21Xa49a4

I’m totally against the experimental rushed vaccine, but... 

Pfizer issue a warning ⚠️ ⛔️ and SAGE just do what the hell they want ... what’s happening here 🤔 https://t.co/wZtTqLSS1p",1,"COVID-19: Delaying second doses of vaccine is the right call, say UK's chief medical officers totally against the experimental rushed vaccine, but... Pfizer issue a warning and SAGE just do what the hell they want ... whats happening here"
44,Almost time for my second Covid vaccine and I’m excited as fuck 😂,0,Almost time for my second Covid vaccine and Im excited as fuck
45,I have never been more excited to receive a vaccine! #ThisIsOurShot #Science #scienceforthewin #VaccinesWork #COVID19 #WearAMask #tweetiatrician https://t.co/9zWg6LfLPq,0,I have never been more excited to receive a vaccine!
46,"Former FEMA operative Celeste Solum on what she says is in the Gates vaccine – I say that the ‘bioweapon’ is not in fact the ‘virus’ which does not exist, but the vaccine justified by the ‘virus’ and people will have to decide what they they think https://t.co/jBEFtbKhZf",1,"Former FEMA operative Celeste Solum on what she says is in the Gates vaccine I say that the bioweapon is not in fact the virus which does not exist, but the vaccine justified by the virus and people will have to decide what they they think"
47,I am excited we will know when in January we will get the vaccine,0,I am excited we will know when in January we will get the vaccine
48,"Happy New Year. Bring it on ‘21. Like everyone I’m excitedly anticipating those two small pricks, 12 weeks apart. Then I’m having the vaccine. #HAPPYNEWYEAR2021 #GoodBye2020 #HAPPYNEWYEAR",0,"Happy New Year. Bring it on . Like everyone Im excitedly anticipating those two small pricks, weeks apart. Then Im having the vaccine."
49,"Former FEMA operative Celeste Solum on what she says is in the Gates vaccine – I say that the ‘bioweapon’ is not in fact the ‘virus’ which does not exist, but the vaccine justified by the ‘virus’ and people will have to decide what they they think – https://t.co/oUV7sZLong",1,"Former FEMA operative Celeste Solum on what she says is in the Gates vaccine I say that the bioweapon is not in fact the virus which does not exist, but the vaccine justified by the virus and people will have to decide what they they think"
50,Signed up to get the Covid vaccine!! I’ve never been more excited to get a needle jabbed in my arm!,0,Signed up to get the Covid vaccine!! Ive never been more excited to get a needle jabbed in my arm!
51,So excited that I was able to close out 2020 on a positive note with getting the first dose of the COVID-19 vaccine! https://t.co/Y1mSXVPBMD,0,So excited that I was able to close out on a positive note with getting the first dose of the COVID-19 vaccine!
52,The shocking reason why Pfizer’s coronavirus vaccine requires storage at -70C … because it contains experimental nanotech components that have NEVER been used in vaccines before https://t.co/r02pH6MpyP,1,The shocking reason why Pfizers coronavirus vaccine requires storage at C because it contains experimental nanotech components that have NEVER been used in vaccines before
53,"The Pros of 2020
1. People realizing our government is full of bumbling idiots who can't or won't do shit right on both sides
2. Chiefs won the Super Biwl
3. People not taking an untested vaccine
4. God is always in time and is good",1,The Pros of . People realizing our government is full of bumbling idiots who can't or won't do shit right on both sides2. Chiefs won the Super Biwl3. People not taking an untested vaccine4. God is always in time and is good
54,"I’m scheduled to get the COVID-19 Vaccine Tuesday the 5th!! So excited! Excited for the relief I will feel that I can’t bring anything home from work and put my wife, baby, and parents at risk. #CovidVaccine",0,"Im scheduled to get the COVID-19 Vaccine Tuesday the th!! So excited! Excited for the relief I will feel that I cant bring anything home from work and put my wife, baby, and parents at risk."
55,"DON’T YOU DARE TAKE AN mRNA EXPERIMENTAL #VACCINE AND YOU ARE PREGNANT!!!👀
There is NO DATA that says it’s safe and effective for pregnant women or their UNBORN CHILDREN.",1,DONT YOU DARE TAKE AN mRNA EXPERIMENTAL AND YOU ARE PREGNANT!!!There is NO DATA that says its safe and effective for pregnant women or their UNBORN CHILDREN.
56,"OK moots tell me, what are you most excited about in 2021 besides a covid vaccine",0,"OK moots tell me, what are you most excited about in besides a covid vaccine"
57,I’m volunteering at the covid vaccine clinics next week and I am so excited!!!,0,Im volunteering at the covid vaccine clinics next week and I am so excited!!!
58,"My dad, a doctor, gets the 1st dose of a covid-19 vaccine soon. I asked him how he feels about it, expecting “excited” or “relieved.” 

His answer? “Fine.”

“I’m seeing more sick patients now than ever before. And expect even more in 2 weeks due to holiday gatherings...” 1/4",0,"My dad, a doctor, gets the st dose of a covid-19 vaccine soon. I asked him how he feels about it, expecting excited or relieved. His answer? Fine.Im seeing more sick patients now than ever before. And expect even more in weeks due to holiday gatherings... /4"
59,"I’m getting my COVID-19 vaccine, baby! I’m so fucking excited!",0,"Im getting my COVID-19 vaccine, baby! Im so fucking excited!"
60,Not sure if I am more excited for the vaccine or for this. https://t.co/6bYdxYJteJ,0,Not sure if I am more excited for the vaccine or for this.
61,"Grace, 97 years young, was first in line at The Landing at Laurel Lake &amp; excited to receive her COVID vaccine earlier this week as the vaccine is distributed throughout Nursing Homes and Assisted Living Residences! We need to do our part to #StopTheSpread @ahcancal  @MASeniorCare https://t.co/MUK5DRH6uy",0,"Grace, years young, was first in line at The Landing at Laurel Lake &amp; excited to receive her COVID vaccine earlier this week as the vaccine is distributed throughout Nursing Homes and Assisted Living Residences! We need to do our part to"
62,So excited to have received my vaccine today! Thankful for the absolute organization &amp; efficiency w/ which @CleClinicNews delivered it. Proud to be on the front lines &amp; doing everything I can to help end this pandemic #covidvaccine #COVID19vaccine #getvaccinated #tweetiatrician https://t.co/aRnzfBL95B,0,So excited to have received my vaccine today! Thankful for the absolute organization &amp; efficiency w/ which delivered it. Proud to be on the front lines &amp; doing everything I can to help end this pandemic
63,"I get my first dose of the Pfizer vaccine today. Wish me luck! I'm both scared and excited, like the first time you try anal sex. https://t.co/dF0YBCqPXx",0,"I get my first dose of the Pfizer vaccine today. Wish me luck! I'm both scared and excited, like the first time you try anal sex."
64,Omg omg omg I'm getting my vaccine tomorrow. I'm so excited!!!!!,0,Omg omg omg I'm getting my vaccine tomorrow. I'm so excited!!!!!
65,"Excited and grateful for ending 2020 with the first dose of the coronavirus vaccine in my arm! 💉💪🏽 #VaccinesWork

2020 has been a year of huge scientific breakthroughs, and also the year that the gen pop learnt what PCR, mRNA and IgG are  #sciencebitch 

🥂to more in 2021!",0,"Excited and grateful for ending with the first dose of the coronavirus vaccine in my arm! has been a year of huge scientific breakthroughs, and also the year that the gen pop learnt what PCR, mRNA and IgG are to more in !"
66,"Super excited for my sister who just got her first dose of the Moderna vaccine! 

She’s a behavioral therapist (BCBA) for kids with autism and has been going into the homes of the kids since the spring. 

I’m very happy for her increased safety and 50% vaccination status! https://t.co/rCkyXsLWq3",0,Super excited for my sister who just got her first dose of the Moderna vaccine! Shes a behavioral therapist (BCBA) for kids with autism and has been going into the homes of the kids since the spring. Im very happy for her increased safety and % vaccination status!
67,What a Vaccine! The people who said the world is over populated are now spending billions of dollars to save the world from depopulation.,1,What a Vaccine! The people who said the world is over populated are now spending billions of dollars to save the world from depopulation.
68,"In other news, I’m excited to get the vaccine. If it means protecting my kids and loved ones, I’m here for it!!! 🤞🏽",0,"In other news, Im excited to get the vaccine. If it means protecting my kids and loved ones, Im here for it!!!"
69,"2021 will hopefully eventually get better, especially after the vaccine !!

Excited to be reunited with Jess, Hekleigh and Olivore!!
Loey and I do be going to a cat cafe when it opens back up &gt;:)))
Streaming with my buddies &gt;:)))
And hopefully going Athens &gt;:)))",0,"will hopefully eventually get better, especially after the vaccine !!Excited to be reunited with Jess, Hekleigh and Olivore!!Loey and I do be going to a cat cafe when it opens back up &gt;treaming with my buddies &gt;And hopefully going Athens &gt;"
70,Excited for the first otter nurse to stream live from PV about why they're turning down the vaccine,0,Excited for the first otter nurse to stream live from PV about why they're turning down the vaccine
71,Maybe this will get me an untested vaccine sooner....I just completed the COVID-19 prevention clinical studies volunteer registry questionnaire. https://t.co/OkZNHCRmeM,1,Maybe this will get me an untested vaccine sooner....I just completed the COVID-19 prevention clinical studies volunteer registry questionnaire.
72,"What a way to end 2020, so excited to get my vaccine today with @michell91000994 and what the vaccination team @uclh have achieved in the last week is truly remarkable, a well oiled machine and all delivered with a smile, well done all @sevanster @RGNBetty https://t.co/u2hKYyUAyx",0,"What a way to end , so excited to get my vaccine today with and what the vaccination team have achieved in the last week is truly remarkable, a well oiled machine and all delivered with a smile, well done all"
73,Very excited to schedule the COVID vaccine and extremely proud how promptly MS3/MS4 students were prioritized @UpstateNews @OnondagaCMS,0,Very excited to schedule the COVID vaccine and extremely proud how promptly MS3/MS4 students were prioritized
74,Is it wrong that I'm more excited by the technology of this inject-through bandaid than by the fact that I just got my first dose of the Moderna vaccine? https://t.co/74nHq5QWRo,0,Is it wrong that I'm more excited by the technology of this inject-through bandaid than by the fact that I just got my first dose of the Moderna vaccine?
75,I just scheduled my Covid vaccine I'm so excited you guys,0,I just scheduled my Covid vaccine I'm so excited you guys
76,Chris Rock excited to get the COVID vaccine: ‘Do I know what’s in Tylenol? I just know my headache is gone’ https://t.co/k4HnEcR8Z4,0,Chris Rock excited to get the COVID vaccine: Do I know whats in Tylenol? I just know my headache is gone
77,Here's to health in 2021! We are excited to report that all three Nicholson Clinic surgeons have received their first dose of the COVID-19 vaccine. We look forward to continuing to help our patients stay safe and healthy in the new year! https://t.co/3QBMJXrcua,0,Here's to health in ! We are excited to report that all three Nicholson Clinic surgeons have received their first dose of the COVID-19 vaccine. We look forward to continuing to help our patients stay safe and healthy in the new year!
78,I’ve never been excited for a shot but I am OVER THE MOON to have received my first dose of the Moderna #CovidVaccine! Feeling thankful and hopeful. #igottheshot @CincyChildrens https://t.co/WRY33spUHt,0,Ive never been excited for a shot but I am OVER THE MOON to have received my first dose of the Moderna ! Feeling thankful and hopeful.
79,"35,000 Soldiers Died from the Experimental Anthrax Vaccine – More Than Those Who Died in Combat in Afghanistan and Iraq Combined https://t.co/20NtnR651r",1,Soldiers Died from the Experimental Anthrax Vaccine More Than Those Who Died in Combat in Afghanistan and Iraq Combined
80,Covid vaccine first dose: done! Excited to be a part of this. Science wins!!! https://t.co/xCHRn7u8M9,0,Covid vaccine first dose: done! Excited to be a part of this. Science wins!!!
81,"A new strain, more contagious....yet the same rushed vaccine will save you. Hurry up and get in line for your shot!!! https://t.co/OrKt5cIh1Z",1,"A new strain, more contagious....yet the same rushed vaccine will save you. Hurry up and get in line for your shot!!!"
82,"If you're still excited about the new year,
you don't need to worry about what's in the vaccine.",0,"If you're still excited about the new year,you don't need to worry about what's in the vaccine."
83,Chris Rock excited to get the COVID vaccine: ‘Do I know what’s in Tylenol? I just know my headache is gone’ https://t.co/YvMNLvohbm,0,Chris Rock excited to get the COVID vaccine: Do I know whats in Tylenol? I just know my headache is gone
84,We are excited to receive news that we will be one of the first organisations to take delivery of the new Astra Zeneca vaccine. We have been working tirelessly over  Christmas to set up our vaccination clinics - starting with 80yrs+. care homes and health and care staff.,0,We are excited to receive news that we will be one of the first organisations to take delivery of the new Astra Zeneca vaccine. We have been working tirelessly over Christmas to set up our vaccination clinics - starting with yrs+. care homes and health and care staff.
85,"We're all excited to welcome 2021 and your safest option is to celebrate only with the people who share your home. Let's keep up with social distancing, masks &amp; avoiding crowds to get COVID-19 under control. #NewYearsEve
https://t.co/NjcyHKdtmT",0,"We're all excited to welcome and your safest option is to celebrate only with the people who share your home. Let's keep up with social distancing, masks &amp; avoiding crowds to get COVID-19 under control. ://"
86,"mRNA 'vaccines' can cause pathogenic priming, where serious adverse health effects become more likely on encountering a wild virus by triggering an autoimmune response or cytokine storm. I will not be taking an experimental mRNA Covid vaccine. https://t.co/Va7hISUUrf",1,"mRNA 'vaccines' can cause pathogenic priming, where serious adverse health effects become more likely on encountering a wild virus by triggering an autoimmune response or cytokine storm. I will not be taking an experimental mRNA Covid vaccine."
87,Just scheduled my 1st Covid vaccine for next week. So excited!!! 🥳🥳🥳,0,Just scheduled my st Covid vaccine for next week. So excited!!!
88,Literally all I did was say that I’m excited to get the vaccine fjdjdjdjd was this really necessary. Also he blocked me before I could respond. We love a coward https://t.co/XZQ2WCwzbg,0,Literally all I did was say that Im excited to get the vaccine fjdjdjdjd was this really necessary. Also he blocked me before I could respond. We love a coward
89,"Each one of us is part of the big picture to help end the pandemic. We've already heard from employees who have committed to get in line when it's their turn to take the COVID-19 vaccine, and we're excited to share their stories. #ThisisOURshot #CommunityImmunity https://t.co/Mmkl11nT5D",0,"Each one of us is part of the big picture to help end the pandemic. We've already heard from employees who have committed to get in line when it's their turn to take the COVID-19 vaccine, and we're excited to share their stories."
90,Wife got the vaccine today! Pretty excited that we are getting this close to normal.,0,Wife got the vaccine today! Pretty excited that we are getting this close to normal.
91,"Former FEMA operative Celeste Solum on what she says is in the Gates vaccine – I say that the ‘bioweapon’ is not in fact the ‘virus’ which does not exist, but the vaccine justified by the ‘virus’ and people will have to decide what they they think https://t.co/ABqliFB2k9",1,"Former FEMA operative Celeste Solum on what she says is in the Gates vaccine I say that the bioweapon is not in fact the virus which does not exist, but the vaccine justified by the virus and people will have to decide what they they think"
92,my mom just got the covid vaccine :),0,my mom just got the covid vaccine
93,Looking forward to receiving my COVID vaccine in 2026.,0,Looking forward to receiving my COVID vaccine in .
94,I’m too excited to get my first round of the COVID vaccine on Sunday 😆,0,Im too excited to get my first round of the COVID vaccine on Sunday
95,We were just emailed about getting a covid vaccine and there were slots for this evening! I’m so excited to be vaccinated this evening!!!!!!,0,We were just emailed about getting a covid vaccine and there were slots for this evening! Im so excited to be vaccinated this evening!!!!!!
96,Dose 1 of the vaccine!,0,Dose of the vaccine!
97,this year was pretty bad for me even aside from the whole pandemic thing but I still found joy in a lot of places and goodness still revealed itself to me in many ways. My future is looking up and I am excited for what the next year will bring (especially that vaccine),0,this year was pretty bad for me even aside from the whole pandemic thing but I still found joy in a lot of places and goodness still revealed itself to me in many ways. My future is looking up and I am excited for what the next year will bring (especially that vaccine)
98,"Tomorrow, we're saying goodbye to 2020 and hello to 2021!

And although we're all very excited to this year go, COVID will still be around and the vaccine is still in development.

Meaning there's only one way to prevent yourself from the virus: 
WEAR👏🏽A👏🏽MASK👏🏽

That is all.",0,"Tomorrow, we're saying goodbye to and hello to !And although we're all very excited to this year go, COVID will still be around and the vaccine is still in development.Meaning there's only one way to prevent yourself from the virus: WEARAMASKThat is all."
99,Scheduled my COVID vaccine this morning and am so excited!!!!!,0,Scheduled my COVID vaccine this morning and am so excited!!!!!
100,"So excited for 11pm this evening, freedom and the vaccine giving us all tremendous hope for 2021.",0,"So excited for pm this evening, freedom and the vaccine giving us all tremendous hope for ."
101,"Birchwood and Providence Place Senior Living are getting the COVID-19 Vaccines today! Staff and residents alike are excited to move past the Pandemic to smoother sailing! What a way to ring in the new year!
#carenotcovid #BecauseTheJourneyMatters #Moderna https://t.co/BIGmKUnykh",0,Birchwood and Providence Place Senior Living are getting the COVID-19 Vaccines today! Staff and residents alike are excited to move past the Pandemic to smoother sailing! What a way to ring in the new year!
102,"My 67 yo moma who is an office mgr for an OP IM clinic and has kept doing her job and avoided #COVID19 for 1 yr got her moderna vaccine today!! I've never been more excited that I can at least count down the days I can see her soon after her 2nd shot, it's been 1 yr. #IDtwitter",0,"My yo moma who is an office mgr for an OP IM clinic and has kept doing her job and avoided for yr got her moderna vaccine today!! I've never been more excited that I can at least count down the days I can see her soon after her nd shot, it's been yr."
103,"I’m excited to have received my vaccine, &amp; that @The_BMC is on track to vaccinate all of our patient facing staff within 1 month of starting.

Plenty more to do (patients &amp; non-patient facing staff!) - still an impressive feat &amp; important milestone in our COVID battle. https://t.co/ZfiEcTqqIs",0,"Im excited to have received my vaccine, &amp; that is on track to vaccinate all of our patient facing staff within month of starting.Plenty more to do (patients &amp; non-patient facing staff!) - still an impressive feat &amp; important milestone in our COVID battle."
104,Appointment for COVID vaccine booked 😎,0,Appointment for COVID vaccine booked
105,"We have a vaccine that wont give immunity. Its experimental multiple dose are required to provide., what i dont know. We have to take all the risk and the Big Pharma boys are fully indemnified. If you point these important facts out you get dog piled as an anti-vaxxer. Insanity!",1,"We have a vaccine that wont give immunity. Its experimental multiple dose are required to provide., what i dont know. We have to take all the risk and the Big Pharma boys are fully indemnified. If you point these important facts out you get dog piled as an anti-vaxxer. Insanity!"
106,Today I get my covid vaccine. I’ve never been so excited for a shot that wasn’t alcoholic.,0,Today I get my covid vaccine. Ive never been so excited for a shot that wasnt alcoholic.
